image,xmin,ymin,xmax,ymax,label
BloodImage_00001.jpeg.png,68,315,286,479,wbc
BloodImage_00001.jpeg.png,346,361,446,454,rbc
BloodImage_00001.jpeg.png,53,179,146,299,rbc
BloodImage_00001.jpeg.png,449,400,536,479,rbc
BloodImage_00001.jpeg.png,461,132,548,212,rbc
BloodImage_00001.jpeg.png,454,295,541,375,rbc
BloodImage_00001.jpeg.png,417,283,508,383,rbc
BloodImage_00001.jpeg.png,278,342,369,451,rbc
BloodImage_00001.jpeg.png,545,62,636,159,rbc
BloodImage_00001.jpeg.png,485,91,576,188,rbc
BloodImage_00001.jpeg.png,376,171,438,253,rbc
BloodImage_00001.jpeg.png,329,177,395,271,rbc
BloodImage_00001.jpeg.png,291,59,407,168,rbc
BloodImage_00001.jpeg.png,299,1,404,68,rbc
BloodImage_00001.jpeg.png,346,26,449,138,rbc
BloodImage_00001.jpeg.png,134,1,241,95,rbc
BloodImage_00001.jpeg.png,1,38,98,164,rbc
BloodImage_00001.jpeg.png,165,160,257,264,rbc
BloodImage_00001.jpeg.png,464,209,566,319,rbc
BloodImage_00003.jpeg.png,127,40,344,226,wbc
BloodImage_00003.jpeg.png,317,93,424,195,rbc
BloodImage_00003.jpeg.png,379,146,471,234,rbc
BloodImage_00003.jpeg.png,504,210,614,302,rbc
BloodImage_00003.jpeg.png,417,248,553,369,rbc
BloodImage_00003.jpeg.png,514,13,615,136,rbc
BloodImage_00003.jpeg.png,417,1,520,88,rbc
BloodImage_00003.jpeg.png,1,126,79,240,rbc
BloodImage_00003.jpeg.png,47,202,158,317,rbc
BloodImage_00003.jpeg.png,314,284,424,377,rbc
BloodImage_00003.jpeg.png,365,350,484,451,rbc
BloodImage_00003.jpeg.png,1,347,86,434,rbc
BloodImage_00003.jpeg.png,49,396,183,479,rbc
BloodImage_00003.jpeg.png,514,385,595,477,rbc
BloodImage_00003.jpeg.png,56,66,151,211,rbc
BloodImage_00003.jpeg.png,213,253,333,368,rbc
BloodImage_00003.jpeg.png,335,268,370,299,platelets
BloodImage_00004.jpeg.png,109,134,324,321,wbc
BloodImage_00004.jpeg.png,432,242,528,325,rbc
BloodImage_00004.jpeg.png,510,112,606,195,rbc
BloodImage_00004.jpeg.png,482,361,594,475,rbc
BloodImage_00004.jpeg.png,75,281,166,375,rbc
BloodImage_00004.jpeg.png,38,1,147,62,rbc
BloodImage_00004.jpeg.png,288,33,390,131,rbc
BloodImage_00004.jpeg.png,411,66,527,185,rbc
BloodImage_00004.jpeg.png,1,82,102,198,rbc
BloodImage_00004.jpeg.png,1,283,81,372,rbc
BloodImage_00004.jpeg.png,1,315,78,397,rbc
BloodImage_00004.jpeg.png,391,373,469,455,rbc
BloodImage_00004.jpeg.png,127,47,163,81,platelets
BloodImage_00005.jpeg.png,273,115,386,222,rbc
BloodImage_00005.jpeg.png,56,103,169,210,rbc
BloodImage_00005.jpeg.png,414,42,518,170,rbc
BloodImage_00005.jpeg.png,536,74,639,202,rbc
BloodImage_00005.jpeg.png,474,193,578,321,rbc
BloodImage_00005.jpeg.png,466,337,570,465,rbc
BloodImage_00005.jpeg.png,420,352,524,479,rbc
BloodImage_00005.jpeg.png,215,174,314,281,rbc
BloodImage_00005.jpeg.png,380,181,479,288,rbc
BloodImage_00005.jpeg.png,1,64,99,171,rbc
BloodImage_00005.jpeg.png,324,1,444,87,rbc
BloodImage_00005.jpeg.png,162,1,290,70,rbc
BloodImage_00005.jpeg.png,173,165,260,270,rbc
BloodImage_00005.jpeg.png,139,191,226,296,rbc
BloodImage_00005.jpeg.png,103,211,190,316,rbc
BloodImage_00005.jpeg.png,29,231,116,336,rbc
BloodImage_00005.jpeg.png,170,65,207,100,platelets
BloodImage_00005.jpeg.png,6,401,43,436,platelets
BloodImage_00005.jpeg.png,124,305,161,340,platelets
BloodImage_00005.jpeg.png,230,288,441,479,wbc
BloodImage_00005.jpeg.png,151,298,236,423,rbc
BloodImage_00005.jpeg.png,63,19,174,97,rbc
BloodImage_00006.jpeg.png,117,190,290,360,wbc
BloodImage_00006.jpeg.png,89,184,131,221,platelets
BloodImage_00006.jpeg.png,65,203,107,240,platelets
BloodImage_00006.jpeg.png,333,1,372,30,platelets
BloodImage_00006.jpeg.png,79,357,202,459,rbc
BloodImage_00006.jpeg.png,495,1,620,114,rbc
BloodImage_00006.jpeg.png,353,327,476,463,rbc
BloodImage_00006.jpeg.png,449,319,565,393,rbc
BloodImage_00006.jpeg.png,291,104,403,194,rbc
BloodImage_00006.jpeg.png,211,76,323,166,rbc
BloodImage_00006.jpeg.png,207,350,319,440,rbc
BloodImage_00006.jpeg.png,253,298,371,403,rbc
BloodImage_00006.jpeg.png,546,368,639,479,rbc
BloodImage_00006.jpeg.png,482,223,617,327,rbc
